link	run_acc_sra	sampid_assigned_for_bioinf	pop	identifiers_biosamp	infraspecies_biosamp	read_type_sra	total_number_reads_sra	total_reads_written_to_final_fastq
PRJNA280898_Lagenorhynchus-albirostris	SRR2006222	sample58	dummy	BioSample: SAMN03480580; Sample name: SCO_ E_M18305; SRA: SRS927604		SINGLE	14530451	14530451
PRJNA280898_Lagenorhynchus-albirostris	SRR2006223	sample59	dummy	BioSample: SAMN03480581; Sample name: SCO_ E_M19209; SRA: SRS927602		SINGLE	18496765	18496765
PRJNA280898_Lagenorhynchus-albirostris	SRR2006224	sample60	dummy	BioSample: SAMN03480582; Sample name: SCO_ E_M28603; SRA: SRS927601		SINGLE	2470415	2470415
PRJNA280898_Lagenorhynchus-albirostris	SRR2006225	sample61	dummy	BioSample: SAMN03480583; Sample name: SCO_ E_M3503; SRA: SRS927600		SINGLE	711652	711652
PRJNA280898_Lagenorhynchus-albirostris	SRR2006226	sample62	dummy	BioSample: SAMN03480584; Sample name: SCO_ E_M9802; SRA: SRS927599		SINGLE	1974814	1974814
PRJNA280898_Lagenorhynchus-albirostris	SRR2006227	sample63	dummy	BioSample: SAMN03480585; Sample name: SCO_N_M19805; SRA: SRS927598		SINGLE	618311	618311
PRJNA280898_Lagenorhynchus-albirostris	SRR2006228	sample64	dummy	BioSample: SAMN03480586; Sample name: SCO_ORK_M14101; SRA: SRS927596		SINGLE	2645241	2645241
PRJNA280898_Lagenorhynchus-albirostris	SRR2006229	sample65	dummy	BioSample: SAMN03480587; Sample name: SCO_ORK_M22511; SRA: SRS927597		SINGLE	646887	646887
PRJNA280898_Lagenorhynchus-albirostris	SRR2006230	sample66	dummy	BioSample: SAMN03480588; Sample name: SCO_ORK_M286297; SRA: SRS927594		SINGLE	727957	727957
PRJNA280898_Lagenorhynchus-albirostris	SRR2006231	sample67	dummy	BioSample: SAMN03480589; Sample name: SCO_SHET_M1010; SRA: SRS927595		SINGLE	856374	856374
PRJNA280898_Lagenorhynchus-albirostris	SRR2006232	sample68	dummy	BioSample: SAMN03480590; Sample name: SCO_W_M25406; SRA: SRS927593		SINGLE	528902	528902
PRJNA280898_Lagenorhynchus-albirostris	SRR2006233	sample69	dummy	BioSample: SAMN03480591; Sample name: SCO_W_M4608; SRA: SRS927592		SINGLE	1001006	1001006
