"species","run_name","s","nugget","m","nbhd","inDeme","stacksparams"
"Acropora cervicornis","bioprj_PRJNA473816_Acropora-cervicornis",0.999490571505941,0.000479255499004271,1.36218605677692e-05,118.510482280914,0.0614214127108063,"littlem_3_bigm_3_n2_nis1lessthanM"
"Acropora palmata","bioprj_PRJNA473816_Acropora-palmata",0.999598391408906,0.00137867852783821,0.0101350661754501,514.767953199744,0.0602531845612758,"littlem_3_bigm_3_n3_nequalM"
"Acropora prolifera","bioprj_PRJNA473816_Acropora-prolifera",0.999609512170413,0.000361707603204765,0.00032113714398165,37.1611312027403,0.0743365827777676,"littlem_3_bigm_3_n4_nis1morethanM"
"Paralichthys dentatus","bioprj_PRJNA477007_Paralichthys-dentatus",0.995129287989072,0.0808019759142076,0.0128788977479664,1031.34428975464,0.0162896043859513,"littlem_3_bigm_3_n4_nis1morethanM"
"Rhizophora mangle","bioprj_PRJNA480308_Rhizophora-mangle",0.996514431802143,0.00112152489589681,1.41747963433381e-11,26.3604576666883,0.359187375405024,"littlem_3_bigm_3_n3_nequalM"
"Laguncularia racemosa","bioprj_PRJNA480409_Laguncularia-racemosa",0.995381161819996,0.00165773123885232,1.17772016110011e-09,8.64981652812758,0.630799519399817,"littlem_3_bigm_3_n2_nis1lessthanM"
"Pygoscelis adeliae","bioprj_PRJNA493660_Pygoscelis-adeliae",0.995601848536381,0.00437047393732192,0.00682550880151866,581.441947200515,0.00674811036521927,"littlem_3_bigm_3_n3_nequalM"
"Pygoscelis antarcticus","bioprj_PRJNA493660_Pygoscelis-antarcticus",0.997967337931376,0.0020199980386758,0.0105799098682651,836.497156338137,0.0067544769399791,"littlem_3_bigm_3_n2_nis1lessthanM"
"Pygoscelis papua","bioprj_PRJNA493660_Pygoscelis-papua",0.998578974270619,0.000866760325377418,5.97451208032696e-11,24.7035449904246,0.315327137511717,"littlem_3_bigm_3_n2_nis1lessthanM"
"Orbicella faveolata","bioprj_PRJNA508589_Orbicella-faveolata",0.993886698691736,0.00589191972025077,0.00822448782371559,87.1469034231664,0.0286560874103397,"littlem_3_bigm_3_n2_nis1lessthanM"
"Ctenolabrus rupestris","bioprj_PRJNA508986_Ctenolabrus-rupestris",0.999565149358069,0.00141147376216391,0.0064649254551329,507.478143070097,0.0463939520848861,"littlem_3_bigm_3_n2_nis1lessthanM"
"Ostrea lurida","bioprj_PRJNA511386_Ostrea-lurida",0.99289351113764,0.0175064680075399,1.45358152864967e-09,34.2821630267536,0.196927546379328,"littlem_3_bigm_3_n4_nis1morethanM"
"Leptopsammia pruvoti","bioprj_PRJNA521302_Leptopsammia-pruvoti",0.993441745965845,0.00454982935267551,2.22805077005497e-08,26.6786286505539,0.30735895653121,"littlem_3_bigm_3_n2_nis1lessthanM"
"Eudyptes chrysolophus","bioprj_PRJNA523574_Eudyptes-chrysolophus",0.997748097432762,0.0022311310510873,0.0063861115140633,536.00988126148,0.00923055950190746,"littlem_3_bigm_3_n4_nis1morethanM"
"Gadus morhua","bioprj_PRJNA528403_Gadus-morhua",0.997329559687835,0.00362998222030744,1.16610659153476e-08,365.893705583301,0.0158078719864276,"littlem_3_bigm_3_n3_nequalM"
"Larimichthys polyactis","bioprj_PRJNA533707_Larimichthys-polyactis",0.998834691934533,0.00215884468641005,0.0108939197269619,844.353293110939,0.00867870948323844,"littlem_3_bigm_3_n2_nis1lessthanM"
"Bartholomea annulata","bioprj_PRJNA542967_Bartholomea-annulata",0.994067481987266,0.0129094503643912,2.53981555905742e-09,44.8825276240944,0.136293387373971,"littlem_3_bigm_3_n4_nis1morethanM"
"Montipora capitata","bioprj_PRJNA544861_Montipora-capitata",0.996669430742501,0.00326612885619522,0.00776839230937328,423.912981560702,0.0194654326638314,"littlem_3_bigm_3_n4_nis1morethanM"
"Porites compressa","bioprj_PRJNA544861_Porites-compressa",0.995520363287558,0.00435721067162576,0.00861473423152549,115.311314497967,0.0276645040136948,"littlem_3_bigm_3_n4_nis1morethanM"
"Sargassum muticum","bioprj_PRJNA549138_Sargassum-muticum",0.997889487545847,0.00108646713516675,0.00397481236003915,0.233484502674643,0.499172063258897,"littlem_3_bigm_3_n4_nis1morethanM"
"Istiblennius lineatus","bioprj_PRJNA553554_Istiblennius-lineatus",0.9944245206973,0.0055358002264435,0.00674464798538292,91.7244215178475,0.00719996794815941,"littlem_3_bigm_3_n4_nis1morethanM"
"Acanthephyra purpurea","bioprj_PRJNA553831_Acanthephyra-purpurea",0.999154553731559,0.0695019420225475,0.0108502642475114,850.566497603165,0.47782333394423,"littlem_3_bigm_9_n8_nis1lessthanM"
"Robustosergia robusta","bioprj_PRJNA553831_Robustosergia-robusta",0.989391442449398,0.0120374376317134,4.54798122583492e-08,67.5169907473596,0.0378171574036868,"littlem_3_bigm_3_n3_nequalM"
"Systellaspis debilis","bioprj_PRJNA553831_Systellaspis-debilis",0.990868210096094,0.0750704794663224,0.0102449989749606,767.662524760436,0.20777828453251,"littlem_3_bigm_6_n6_nequalM"
"Penaeus duorarum","bioprj_PRJNA554161_Penaeus-duorarum",0.988639457637289,0.0113879798348561,0.0137184760005854,1007.94726527762,0.00833469316289019,"littlem_3_bigm_6_n7_nis1morethanM"
"Gadus macrocephalus","bioprj_PRJNA558810_Gadus-macrocephalus",0.998752714461584,0.00126193491186332,0.0135985897434018,1005.28415029008,0.00674016641656029,"littlem_3_bigm_3_n4_nis1morethanM"
"Pomacanthus maculosus","bioprj_PRJNA559876_Pomacanthus-maculosus",0.996988476953764,0.00374001469757018,3.56045964134346e-10,85.4249917460958,0.0833767249194837,"littlem_3_bigm_3_n4_nis1morethanM"
"Sebastes diaconus","bioprj_PRJNA560239_Sebastes-diaconus",0.99855110806171,0.0024410731705726,5.09206491914272e-05,237.490218532695,0.00709586822807526,"littlem_3_bigm_3_n4_nis1morethanM"
