"species","link","meanlat.genetic","minlat.genetic","maxlat.genetic","meanlat.gbif","minlat.gbif","maxlat.gbif","n_ECOREGIONS.all","n_PROVINCES.all","n_REALMS.all","n_Realm_Costello.all","n_ECOREGIONS.gbif","n_ECOREGIONS.genetic","n_PROVINCES.gbif","n_PROVINCES.genetic","n_REALMS.gbif","n_REALMS.genetic","n_Realm_Costello.gbif","n_Realm_Costello.genetic","max.95.sea.gbif","max.100.sea.gbif","maxgenetic.sea","max.95.gcd.gbif","max.100.gcd.gbif","maxgenetic.gcd","ratio.sea.95","ratio.gcd.95","ratio.sea.100","ratio.gcd.100","Body_Size","Fecundity_EggSize","Generational_Structure","ReturnToSpawningGround","Spawning_mode","Larval_feeding","PLD_point2","isPlanktonic_atanypoint","n_samples","mean_raw_read_cnt","read_length","mean_locus_depth","littlem","bigm","n","s","nugget","m","nbhd","inDeme","stacksparams","thetaW","globalPi","meanHet","taxclade","cladecolor"
"Gadus_macrocephalus","bioprj_PRJNA558810_Gadus-macrocephalus",59.3802020945794,54.58333333,64.66608,53.2692007916096,33.138889,71.74145,18,6,3,5,18,2,6,2,3,2,4,3,4211,10906,1982,4015.99705829601,10091.3759621615,1906.00450339193,0.470672049394443,0.474603062632881,0.181734824867046,0.188874590594846,122,1.1,0,0,2,2,52.5,1,214,6215615.6635514,92,141.2,3,3,"nis1morethanM",0.99875267699535,0.0012619434619242,0.0147143692765537,966.648749043002,0.00674117146225577,"littlem_3_bigm_3_n4_nis1morethanM",0.00307267022101728,0.001267433275086,0.00135799679124112,"bony fishes","#A6CEE3"
"Gadus_morhua","bioprj_PRJNA528403_Gadus-morhua",48.801779661017,42.6,53.86,46.1049218770326,32.0125,79.745458,25,6,4,8,25,6,6,2,4,2,8,2,5636,8446,1798,5282.19339285394,7243.41518534864,1591.81358203034,0.319020581973031,0.301354657741961,0.21288183755624,0.219760091241232,200,1.52,0,1,2,2,55,1,236,3014827.75847458,110,45.3,3,3,"nequalM",0.997329491977819,0.00363001855448743,1.16598131488254e-08,365.732751524147,0.015810521347283,"littlem_3_bigm_3_n3_nequalM",0.00679543135854249,0.00264854187856194,0.00260449775732131,"bony fishes","#A6CEE3"
"Galaxea_fascicularis","bioprj_PRJNA576132_Galaxea-fascicularis",25.0264255670157,7.5,30.827102,12.6293385369917,-28.75,30.829108,52,22,6,10,52,8,22,5,6,2,10,3,15428,19802,5167,15086.1344591705,18386.7070478404,4936.04283947439,0.334910552242676,0.327190696386369,0.260933239066761,0.268457142795133,500,0.45,0,0,2,1,3,1,247,1541725.88663968,47,22.7,3,3,"nis1morethanM",0.981392495547513,0.0493508806534871,1.36887739728495e-08,41.6275648108034,0.151410165610777,"littlem_3_bigm_3_n4_nis1morethanM",0.0410667029455155,0.0187043959477677,0.00870981401550793,"cnidarians","#FF7F00"
"Galaxias_maculatus","bioprj_PRJNA564121_Galaxias-maculatus",-42.1952839285714,-51.4133,-36.8067,38.4737139175126,-56.008333,-12.383,21,9,3,6,21,3,9,2,3,1,6,2,10808,15590,1888,10557.8406836359,14526.7430883922,1771.98555628966,0.174685418208734,0.167835981749199,0.121103271327774,0.121980924802449,12,1,1,0,1,2,150,1,224,1396357.71428571,140,171,3,9,"nis1lessthanM",0.993872711266217,0.00569615590634642,0.0299478370360984,1462.80393783821,0.252422260962827,"littlem_3_bigm_9_n8_nis1lessthanM",0.0114779983179535,0.00600396624368446,0.00337971230849098,"bony fishes","#A6CEE3"
"Halichoerus_grypus_atlantica","bioprj_PRJNA450328_Halichoerus-grypus-atlantica",43.4792380952381,41.34,45.87,49.4878288325733,33.643777,70.728175,12,5,2,6,12,3,5,1,2,1,6,2,5989,7858,1360,5669.91036223335,7410.61330621433,897.21950344907,0.227082985473368,0.158242273004059,0.173072028505981,0.121072233346286,200,0,0,1,0,0,0,0,262,2487279.18320611,45,30.2,3,3,"nis1morethanM",0.999186214517999,0.00181422663010983,0.00858758082251766,734.173044104274,0.00676674659010312,"littlem_3_bigm_3_n4_nis1morethanM",0.001843116603549,0.000816888146716208,0.000910959066809975,"mammals","#B2DF8A"
"Homarus_americanus","bioprj_PRJNA281764_Homarus-americanus",41.8382320443349,39.5,44.3849999999999,42.7470528975576,35.25,50.24131,7,3,2,3,7,2,3,1,2,1,3,1,1367,2720,632,1051.76450572622,2312.88271740402,629.333835308979,0.462326261887345,0.598360024399605,0.232352941176471,0.272099328934129,64,2,0,0,0,2,12,1,203,3054113.96551724,80,76.5,3,3,"nequalM",0.996014344507058,0.00396158687293158,1.55755550641177e-10,1054.1718432316,0.00676494273180356,"littlem_3_bigm_3_n3_nequalM",0.010484106117894,0.00395274370892681,0.00275978167962027,"crustacea","#FDBF6F"
"Istiblennius_lineatus","bioprj_PRJNA553554_Istiblennius-lineatus",23.1696773615385,21.9324167,26.7111111,4.09586696736597,-31.9,34.697036,47,22,5,8,47,2,22,2,5,2,8,2,12408,19610,913,11978.6633623405,18845.6792130913,897.610211330165,0.0735815602836879,0.074934087734041,0.0465578786333503,0.0476294964580865,15,NA,0,0,1,2,47,1,13,7761622.07692308,110,101.4,3,3,"nis1morethanM",0.994424578799503,0.00553598275613624,0.00675361065581451,92.832492422061,0.00716981982376778,"littlem_3_bigm_3_n4_nis1morethanM",0.00708833717998397,0.00545073423104022,0.004854489087728,"bony fishes","#A6CEE3"
"Lagenorhynchus_acutus","bioprj_PRJNA280898_Lagenorhynchus-acutus",58.2835176456327,48.35778,62.22565,44.9710404917068,-30.8333,70.759431,21,8,5,8,21,3,8,1,5,1,8,2,5673,15694,1765,5359.71813401774,14315.3336503201,1553.91629366937,0.311122862682884,0.289925002549439,0.112463361794316,0.10854907972296,300,0,0,0,0,0,0,0,43,2661373.88372093,76,90.5,3,6,"nis1morethanM",0.974906594867157,0.0737141133989186,0.0100286189543768,835.207567417485,0.0338463505492329,"littlem_3_bigm_6_n7_nis1morethanM",0.0346845371189799,0.0245703754204115,0.00963212072308071,"mammals","#B2DF8A"
"Laguncularia_racemosa","bioprj_PRJNA480409_Laguncularia-racemosa",21.1952888888889,9.59037,28.25485,12.310351771047,-28.480556,32.478611,32,10,5,6,32,8,10,2,5,2,6,1,20783,21724,2978,9113.87403865677,14304.3460632941,2922.14959626972,0.143290189096858,0.320626506782443,0.137083410053397,0.20428403950378,93.1,NA,0,0,2,0,NA,0,54,1434511.55555556,86,15.8,3,3,"nis1lessthanM",0.995384353027579,0.00165762356482796,1.1944062214859e-09,8.64436976550324,0.630665244785795,"littlem_3_bigm_3_n2_nis1lessthanM",0.00376279960421493,0.00281826325796978,0.00206098196998679,"vascular plants","#CAB2D6"
"Larimichthys_polyactis","bioprj_PRJNA533707_Larimichthys-polyactis",32.26007,29.99056,35.01111,28.5102508104575,17.31,38.76146,5,3,2,2,5,2,3,2,2,1,2,1,2259,2908,578,2134.49260097122,2657.04203083906,565.086699373095,0.255865427180168,0.264740528552769,0.198762035763411,0.212675107436915,26,1.1,0,0,2,2,66,1,80,8622480.8375,150,14,3,3,"nis1lessthanM",0.998834129705703,0.00215826649880647,0.0106699838411231,839.849767717076,0.00872727309654287,"littlem_3_bigm_3_n2_nis1lessthanM",0.0029633686122999,0.0011869507405307,0.00203641835390166,"bony fishes","#A6CEE3"
"Lateolabrax_maculatus","bioprj_PRJNA356786_Lateolabrax-maculatus",28.9405736651584,20.68333,38.91667,32.7032733324251,17.31,42.644114,9,4,2,3,9,4,4,3,2,2,3,1,3309,3935,3256,3198.64143529113,3603.51506862377,2198.44516393728,0.983983076458144,0.687305910466074,0.827445997458704,0.610083521803309,102,0.4,0,0,2,2,59.5,1,221,2126222.50226244,120,59.9,3,3,"nis1morethanM",0.996897850577811,0.00700757774415099,1.87173695134918e-08,104.159300039321,0.0293771263042627,"littlem_3_bigm_3_n4_nis1morethanM",0.00483120661519869,0.00303121951797861,0.00264831355556893,"bony fishes","#A6CEE3"
"Leptopsammia_pruvoti","bioprj_PRJNA521302_Leptopsammia-pruvoti",41.6585849056604,38.08,45.19,44.5116802470262,10.281,51.198562,13,6,4,7,13,3,6,1,4,1,7,1,3502,20025,2076,1518.64877624966,14932.9090121469,960.698634938384,0.592804111936037,0.632600934437818,0.103670411985019,0.0643343258943669,0.6,0.68,0,0,0,1,NA,1,212,2081059.34433962,35,46.3,3,3,"nis1lessthanM",0.993440064509964,0.00454989463012031,2.22804391144564e-08,26.6769690057989,0.307349587828038,"littlem_3_bigm_3_n2_nis1lessthanM",0.00894426390461774,0.00590844940189638,0.00599871939998327,"cnidarians","#FF7F00"
"Lutjanus_campechanus","bioprj_PRJNA329407_Lutjanus-campechanus",29.6168935087719,27.98025,30.18888,27.5517153268926,-2.4,41.3304329990643,14,6,3,3,14,1,6,1,3,1,3,1,2979,20832,624,2839.81066294428,6873.58145558853,609.110809084337,0.209466263846929,0.214489936611766,0.0299539170506912,0.088616220382331,100,0.258151933,0,0,2,2,34,1,228,998780.201754386,95,37.6,3,3,"nis1lessthanM",0.996207789079122,0.0137712451307342,0.0303742815577349,246.867600124425,0.00678592214732679,"littlem_3_bigm_3_n2_nis1lessthanM",0.00740720944571165,0.00378441527757779,0.0030883938761476,"bony fishes","#A6CEE3"
