"link","species","meanlat.genetic","minlat.genetic","maxlat.genetic","meanlat.gbif","minlat.gbif","maxlat.gbif","n_ECOREGIONS.all","n_PROVINCES.all","n_REALMS.all","n_Realm_Costello.all","n_ECOREGIONS.gbif","n_ECOREGIONS.genetic","n_PROVINCES.gbif","n_PROVINCES.genetic","n_REALMS.gbif","n_REALMS.genetic","n_Realm_Costello.gbif","n_Realm_Costello.genetic","maxgbif.sea_km","maxgenetic.sea_km","maxgbif.gcd_km","maxgenetic.gcd_km","ratio.sea","ratio.gcd","Body_Size","Fecundity_EggSize","Generational_Structure","ReturnToSpawningGround","Spawning_mode","Larval_feeding","PLD_point2","isPlanktonic_atanypoint","s","nugget","m","nbhd","inDeme","stacksparams"
"bioprj_PRJNA385083_Agaricia-undata","Agaricia_undata",11.6447727272727,10.23,12.54,12.196347905,-17.85,27.883333,9,3,3,3,9,1,3,1,3,1,3,1,20330,723,11144.3766575472,715.554133471594,0.0355632070831284,0.0642076408093229,4.74,0.4,0,0,2,1,10,1,0.996670825295815,0.996670825295815,2.70503982840102e-05,81.013205624131,0.0423597600702329,"littlem_3_bigm_3_n4_nis1morethanM"
"bioprj_PRJNA392526_Sebastiscus-marmoratus","Sebastiscus_marmoratus",31.1057142857143,24.367,37.95,29.7987132076125,-34.838345,59.27,12,7,4,6,11,5,7,3,4,2,6,2,3351,2510,3278.32231696504,2473.69758383375,0.74903014025664,0.754562042613253,36,NA,0,0,0,2,135,1,0.997044094138883,0.997044094138883,0.0795965977459864,13.1919483361967,0.0109196244331202,"littlem_3_bigm_3_n4_nis1morethanM"
"bioprj_PRJNA448430_Stegastes-beebei","Stegastes_beebei",-0.37544,-1.3758,5.5282,1.41752120066335,-2.2197,17.681117,8,2,1,2,8,2,2,2,1,1,2,1,2431,870,2428.43827337761,848.494059408383,0.357877416700946,0.349399063879951,15,NA,0,0,1,2,31.2,1,0.992922498600546,0.992922498600546,1.52231780282376e-08,20.234096998718,0.260575138310266,"littlem_3_bigm_9_n9_nequalM"
"bioprj_PRJNA448430_Stegastes-leucorus","Stegastes_leucorus",24.18095,19.3094,29.0525,14.2259427127273,-1.349849,38.7005,9,4,3,3,9,2,4,2,3,2,3,1,4824,1331,4768.26325965129,1322.41742565709,0.275912106135987,0.277337335135687,14,NA,0,0,1,2,31.7,1,0.993816061786972,0.993816061786972,0.081434633017083,12.7059139088174,0.0884232117359517,"littlem_3_bigm_9_n10_nis1morethanM"
"bioprj_PRJNA448438_Holacanthus-passer","Holacanthus_passer",12.5808866666667,-1.3758,23.996,9.01782996070797,-6.918056,30.266667,15,5,4,3,15,5,5,3,4,2,3,2,4340,3936,4235.49363282097,3694.08158577722,0.906912442396313,0.872172621663664,36,NA,0,0,2,2,25,1,0.996689824959398,0.996689824959398,0.0808174650208014,12.7825327190375,0.0348990754881726,"littlem_3_bigm_9_n10_nis1morethanM"
"bioprj_PRJNA449377_Zebrasoma-flavescens","Zebrasoma_flavescens",15.6630004882353,9.9032778,19.64,20.1223559470166,-22.433,28.45155,23,12,3,7,23,2,12,2,3,2,7,2,6374,7054,6302.69403411678,6974.24305707599,1.10668340131785,1.1065495198282,20,0.75,0,0,2,2,70,1,0.992593443187386,0.992593443187386,0.227731659540353,0.236659145876694,0.0677035732394236,"littlem_3_bigm_9_n10_nis1morethanM"
"bioprj_PRJNA450871_Pocillopora-damicornis","Pocillopora_damicornis",-23.4508168421053,-23.4552,-23.4468,0.339350010967837,-40.529171,33.450001,77,33,8,16,77,1,33,1,8,1,16,1,18749,0,17276.9048467485,1.58597804431314,0,9.17975793917522e-05,10,0.11,0,0,2,2,NA,1,0.769204815028108,0.769204815028108,0.0786087677628134,12.6247049253796,0.843911370383972,"littlem_3_bigm_3_n4_nis1morethanM"
"bioprj_PRJNA451040_Sebastes-paucispinis","Sebastes_paucispinis",46.9806355953317,43.055750326797,54.53,47.9819985505613,26.379999,59.56,8,3,2,2,8,3,3,1,2,1,2,1,2505,1358,2442.69738957614,1358.92858165887,0.542115768463074,0.556322935234591,87,NA,0,0,0,2,135,1,0.999135575239559,0.999135575239559,0.101416655343883,9.69324534388717,0.00204664799079373,"littlem_3_bigm_3_n3_nequalM"
"bioprj_PRJNA451040_Sebastes-pinniger","Sebastes_pinniger",48.076833877597,46.42921951,48.6753666666667,50.6546089357247,32.868273,59.56,7,3,2,1,7,2,3,1,2,1,1,1,1674,466,1659.52011162056,274.171929077724,0.278375149342891,0.165211573609668,72.5,NA,0,0,0,2,135,1,0.998797640160638,0.998797640160638,0.352409903763843,32.5525421154417,0.000676720080816789,"littlem_3_bigm_3_n3_nequalM"
"bioprj_PRJNA480308_Rhizophora-mangle","Rhizophora_mangle",18.6388512295082,-2.66,28.25506,15.0418240129252,-27.657778,38.614111,31,11,5,7,31,14,11,5,5,3,7,4,20546,20844,9791.50621265007,7823.70288656958,1.01450403971576,0.799029558543485,NA,NA,0,0,0,1,182.5,0,0.996186465093995,0.996186465093995,1.36888056190843e-13,28.7454310016012,0.418792400405129,"littlem_3_bigm_3_n3_nequalM"
"bioprj_PRJNA480409_Laguncularia-racemosa","Laguncularia_racemosa",21.1952888888889,9.59037,28.25485,12.310351771047,-28.480556,32.478611,32,10,5,6,32,8,10,2,5,2,6,1,21100,2978,9121.25400074697,2922.14959626972,0.141137440758294,0.320367089440817,93.1,NA,0,0,2,0,NA,0,0.994387652880712,0.994387652880712,4.58505846505511e-11,10.693509882613,0.694350876191614,"littlem_3_bigm_3_n2_nis1lessthanM"
"bioprj_PRJNA493660_Pygoscelis-antarcticus","Pygoscelis_antarcticus",-60.4836363636364,-64.61,-54.42,-61.8560847002377,-82.936944,60.9,26,11,7,7,26,5,11,3,7,2,7,1,6788,4709,4165.88682962829,4320.0141000818,0.693724219210371,1.03699746938811,75,80,0,1,1,0,0,0,0.99796919481754,0.99796919481754,0.0795771081778457,12.6846816235503,0.00178081663999534,"littlem_3_bigm_3_n2_nis1lessthanM"
"bioprj_PRJNA493660_Pygoscelis-papua","Pygoscelis_papua",-57.9836231884058,-64.83,-49.37,-58.5414523226201,-78.15856,42.474834,28,13,7,7,28,5,13,3,7,2,7,2,8097,8021,7768.59858131676,7794.35350243526,0.990613807583056,1.003315259612,90,80,0,1,1,0,0,0,0.998490758125636,0.998490758125636,4.13245001671019e-12,26.6266414887933,0.35292350638184,"littlem_3_bigm_3_n2_nis1lessthanM"
"bioprj_PRJNA508589_Orbicella-faveolata","Orbicella_faveolata",24.7848632984293,24.52202,24.95375,15.5906798175984,8.642056,27.921667,9,2,2,3,9,1,2,1,2,1,3,1,2780,121,2557.94083720723,118.521203667112,0.0435251798561151,0.046334614914907,200,0.25,0,0,2,1,20,1,0.993888470795623,0.993888470795623,0.0133764002652014,67.2912133318476,0.0285066772430349,"littlem_3_bigm_3_n2_nis1lessthanM"
"bioprj_PRJNA559876_Pomacanthus-maculosus","Pomacanthus_maculosus",20.2147947019868,-2.378,28.4,20.3116305337079,-29.871,29.98117,12,5,2,4,10,7,5,3,2,1,4,2,21845,5287,12535.8803073937,3489.06301020586,0.242023346303502,0.278326126658055,50,0.61,0,0,2,2,22,1,0.996939492005761,0.996939492005761,1.39048256904186e-11,94.6570485914903,0.0970060686683183,"littlem_3_bigm_3_n4_nis1morethanM"
"bioprj_PRJNA564121_Galaxias-maculatus","Galaxias_maculatus",-42.1952839285714,-51.4133,-36.8067,-38.4710577100225,-56.008333,-12.383,22,9,3,6,22,3,9,2,3,1,6,2,3884,4299140713,3474.37962233034,1626.07463869166,1106884.83856849,0.46801870130732,10,1,1,0,1,2,150,1,0.993868439061053,0.993868439061053,0.841174606686432,0.0206872578401622,0.254272310117065,"littlem_3_bigm_9_n8_nis1lessthanM"
"bioprj_PRJNA573759_Vampyroteuthis-infernalis","Vampyroteuthis_infernalis",29.622,26.89,40,8.74831152848101,-67.95,59.12861,62,34,12,19,62,2,34,2,12,1,19,2,21046,2968,17612.5929643652,2465.4589100267,0.141024422693148,0.139982733661929,15.25,3.5,0,0,0,2,NA,1,0.989962433158476,0.989962433158476,0.244769571080746,22.840483741677,0.0411928324751253,"littlem_3_bigm_6_n5_nis1lessthanM"
