"organism_biosamp_ncbitaxonomy-via-taxize","superkingdom_ncbitaxonomy-via-taxize","kingdom_ncbitaxonomy-via-taxize","phylum_ncbitaxonomy-via-taxize","subphylum_ncbitaxonomy-via-taxize","superclass_ncbitaxonomy-via-taxize","class_ncbitaxonomy-via-taxize","subclass_ncbitaxonomy-via-taxize","superorder_ncbitaxonomy-via-taxize","order_ncbitaxonomy-via-taxize","suborder_ncbitaxonomy-via-taxize","infraorder_ncbitaxonomy-via-taxize","superfamily_ncbitaxonomy-via-taxize","family_ncbitaxonomy-via-taxize","genus_ncbitaxonomy-via-taxize","species_ncbitaxonomy-via-taxize","infraclass_ncbitaxonomy-via-taxize","cohort_ncbitaxonomy-via-taxize","subfamily_ncbitaxonomy-via-taxize","parvorder_ncbitaxonomy-via-taxize","subcohort_ncbitaxonomy-via-taxize","tribe_ncbitaxonomy-via-taxize","subspecies_ncbitaxonomy-via-taxize"
"Lagenorhynchus albirostris","Eukaryota","Metazoa","Chordata","Craniata","Sarcopterygii","Mammalia",NA,"Laurasiatheria","Artiodactyla","Whippomorpha","Cetacea",NA,"Delphinidae","Lagenorhynchus","Lagenorhynchus albirostris",NA,NA,NA,"Odontoceti",NA,NA,NA
"Laguncularia racemosa","Eukaryota","Viridiplantae","Streptophyta","Streptophytina",NA,"Magnoliopsida",NA,NA,"Myrtales",NA,NA,NA,"Combretaceae","Laguncularia","Laguncularia racemosa",NA,NA,NA,NA,NA,NA,NA
"Larimichthys polyactis","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,NA,NA,NA,NA,"Sciaenidae","Larimichthys","Larimichthys polyactis","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Lateolabrax maculatus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Pempheriformes",NA,NA,NA,"Lateolabracidae","Lateolabrax","Lateolabrax maculatus","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Leptopsammia pruvoti","Eukaryota","Metazoa","Cnidaria",NA,NA,"Anthozoa","Hexacorallia",NA,"Scleractinia","Dendrophylliina",NA,NA,"Dendrophylliidae","Leptopsammia","Leptopsammia pruvoti",NA,NA,NA,NA,NA,NA,NA
"Lutjanus campechanus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Lutjaniformes",NA,NA,NA,"Lutjanidae","Lutjanus","Lutjanus campechanus","Teleostei","Euteleosteomorpha","Lutjaninae",NA,NA,NA,NA
"Lutjanus fulvus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Lutjaniformes",NA,NA,NA,"Lutjanidae","Lutjanus","Lutjanus fulvus","Teleostei","Euteleosteomorpha","Lutjaninae",NA,NA,NA,NA
"Mallotus villosus","Eukaryota","Metazoa","Chordata","Craniata","Actinopterygii","Actinopteri","Neopterygii",NA,"Osmeriformes",NA,NA,NA,"Salangidae","Mallotus","Mallotus villosus","Teleostei","Euteleosteomorpha",NA,NA,NA,NA,NA
"Montipora capitata","Eukaryota","Metazoa","Cnidaria",NA,NA,"Anthozoa","Hexacorallia",NA,"Scleractinia","Astrocoeniina",NA,NA,"Acroporidae","Montipora","Montipora capitata",NA,NA,NA,NA,NA,NA,NA
"Mytilus galloprovincialis","Eukaryota","Metazoa","Mollusca",NA,NA,"Bivalvia","Autobranchia",NA,"Mytilida",NA,NA,"Mytiloidea","Mytilidae","Mytilus","Mytilus galloprovincialis",NA,NA,"Mytilinae",NA,NA,NA,NA
