"run_name","n_samples","mean_raw_read_cnt","read_type","read_length","name_of_adapter_removed","mean_locus_depth","littlem","bigm","n","mean_depth_snp_filtered","n.totalsnps"
"bioprj_PRJNA558810_Gadus-macrocephalus",214,6215615.6635514,"SINGLE",92,"none",141.2,"3","3","nis1morethanM",49.4750347495561,64213
"bioprj_PRJNA559677_Caretta-caretta",39,2448509.15384615,"PAIRED",105,">Adapter1",11.7,"3","3","nis1morethanM",9.35728358819081,8259
"bioprj_PRJNA559876_Pomacanthus-maculosus",150,4218463.86666667,"SINGLE",91,"none",74.9,"3","3","nis1morethanM",41.8102742008469,103292
"bioprj_PRJNA560239_Sebastes-diaconus",96,2743501.36458333,"SINGLE",141,"none",46.5,"3","3","nis1morethanM",31.1615608913584,65492
"bioprj_PRJNA564121_Galaxias-maculatus",224,1396357.71428571,"SINGLE",140,"none",171,"3","9","nis1lessthanM",97.0169390376355,51232
"bioprj_PRJNA564451_Uria-aalge",128,852116.578125,"PAIRED",117,"none",67.2,"3","3","nis1morethanM",29.1480580919544,39488
"bioprj_PRJNA564451_Uria-lomvia",143,919384.601398601,"PAIRED",117,"none",70.3,"3","3","nis1morethanM",30.5202750566123,62046
"bioprj_PRJNA573759_Cranchia-scabra",40,3259819.65,"PAIRED",142,"none",99.1,"3","6","nis1morethanM",70.8272865701573,358635
"bioprj_PRJNA573759_Pyroteuthis-margaritifera",29,3193068.68965517,"PAIRED",142,"none",88.4,"3","9","nequalM",72.6890959534487,247940
"bioprj_PRJNA573759_Vampyroteuthis-infernalis",22,916413.863636364,"PAIRED",140,"none",36.4,"3","3","nis1morethanM",30.5732438338306,97856
"bioprj_PRJNA576132_Galaxea-fascicularis",173,1370485.9017341,"SINGLE",47,">MERGED-Reverse_adapter-1-Reverse_adapter-2",22.7,"3","3","nis1morethanM",16.7414823418299,137009
"bioprj_PRJNA576132_Galaxea-horrescens",11,1428064.54545455,"SINGLE",47,">MERGED-Reverse_adapter-1-Reverse_adapter-2",24.9,"3","6","nequalM",29.1876595195125,4986
"bioprj_PRJNA576675_Eukrohnia-hamata",95,511853.547368421,"PAIRED",90,"none",22.3,"3","3","nis1lessthanM",17.537031600962,57333
"bioprj_PRJNA590458_Dascyllus-trimaculatus",121,1501738.52892562,"SINGLE",92,"none",12.7,"3","3","nis1morethanM",10.6156545336606,603657
"bioprj_PRJNA595396_Bathygobius-cocosensis",51,9658633.56862745,"PAIRED",151,"none",15,"3","3","nis1morethanM",9.98405439794725,308172
"bioprj_PRJNA632874_Anthopleura-elegantissima",85,369419.2,"PAIRED",94,"none",52.9,"3","3","nis1morethanM",33.2593138452421,11143
"bioprj_PRJNA640135_Paracirrhites-forsteri",87,2698214.81609195,"SINGLE",92,"none",21.9,"3","3","nis1morethanM",16.9298011962092,485940
"bioprj_PRJNA646172_Bathyraja-aleutica",91,6241773.95604396,"SINGLE",95,"none",67.2,"3","3","nis1lessthanM",42.4082672671665,178752
"bioprj_PRJNA646172_Bathyraja-panthera",15,5593269.4,"SINGLE",95,"none",57.5,"3","3","nis1lessthanM",54.2240154359054,65517
"bioprj_PRJNA659918_Phocoena-sinus",11,2796787.90909091,"SINGLE AND PAIRED",97,"none",35.8,"3","3","nis1morethanM",34.3098777160674,167
